agency,total_employees,retirement_risk_employees,retirement_ratio,staffing_risk_index,federal_rank
ARCTIC RESEARCH COMMISSION,2,2.0,1.0,100.0,1
FARM CREDIT SYSTEM INSURANCE CORPORATION,10,8.0,0.8,80.0,2
NORTHERN BORDER REGIONAL COMMISSION,2,1.0,0.5,50.0,3
JAPAN-UNITED STATES FRIENDSHIP CMSN,12,6.0,0.5,50.0,4
UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,11,5.0,0.45454545454545453,45.45454545454545,5
GULF COAST ECOSYSTEM RESTORATION COUNCIL,23,10.0,0.43478260869565216,43.47826086956522,6
PUBLIC BUILDINGS REFORM BOARD,7,3.0,0.42857142857142855,42.857142857142854,7
SELECTIVE SERVICE SYSTEM,145,62.0,0.42758620689655175,42.758620689655174,8
APPALACHIAN REGIONAL COMMISSION,5,2.0,0.4,40.0,9
NUCLEAR WASTE TECHNICAL REVIEW BOARD,13,5.0,0.38461538461538464,38.46153846153847,10
U.S. HOLOCAUST MEMORIAL MUSEUM,100,38.0,0.38,38.0,11
COMMISSION OF FINE ARTS,8,3.0,0.375,37.5,12
THE US SEMIQUINCENTENNIAL COMMISSION,8,3.0,0.375,37.5,13
GOVERNMENT PUBLISHING OFFICE,1645,607.0,0.3689969604863222,36.89969604863222,14
CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,39,14.0,0.358974358974359,35.8974358974359,15
FEDERAL FINANCIAL INST. EXAM. COUNCIL,14,5.0,0.35714285714285715,35.714285714285715,16
EXPORT-IMPORT BANK OF THE UNITED STATES,335,116.0,0.34626865671641793,34.626865671641795,17
CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,18,6.0,0.3333333333333333,33.33333333333333,18
ARMED FORCES RETIREMENT HOME,281,91.0,0.3238434163701068,32.38434163701068,19
FED RETIREMENT THRIFT INVESTMENT BOARD,241,76.0,0.3153526970954357,31.535269709543567,20
U.S.AGENCY FOR GLOBAL MEDIA,822,257.0,0.3126520681265207,31.265206812652067,21
FEDERAL ELECTION COMMISSION,252,77.0,0.3055555555555556,30.555555555555557,22
FEDERAL COMMUNICATIONS COMMISSION,1252,379.0,0.3027156549520767,30.27156549520767,23
COMMODITY FUTURES TRADING COMMISSION,548,161.0,0.2937956204379562,29.37956204379562,24
MARINE MAMMAL COMMISSION,24,7.0,0.2916666666666667,29.166666666666668,25
PENSION BENEFIT GUARANTY CORPORATION,863,251.0,0.2908458864426419,29.08458864426419,26
SMALL BUSINESS ADMINISTRATION,5779,1665.0,0.2881121301263194,28.811213012631942,27
DEPARTMENT OF HOUSING AND URBAN DEVELOPM,6299,1797.0,0.2852833783140181,28.528337831401814,28
RAILROAD RETIREMENT BOARD,706,200.0,0.28328611898017,28.328611898016998,29
NATIONAL TRANSPORTATION SAFETY BOARD,411,116.0,0.2822384428223844,28.223844282238442,30
MEDICAID & CHIP PAYMENT & ACCESS COMM,50,14.0,0.28,28.000000000000004,31
NATIONAL CREDIT UNION ADMINISTRATION,1186,332.0,0.2799325463743676,27.99325463743676,32
NAT AERONAUTICS AND SPACE ADMINISTRATION,16869,4708.0,0.2790918252415674,27.90918252415674,33
AMERICAN BATTLE MONUMENTS COMMISSION,79,22.0,0.27848101265822783,27.848101265822784,34
INTERNATIONAL JOINT CMSN: U.S. & CANADA,18,5.0,0.2777777777777778,27.77777777777778,35
DEPARTMENT OF LABOR,12421,3429.0,0.27606472908783514,27.606472908783513,36
FED MEDIATION AND CONCILIATION SERVICE,91,25.0,0.27472527472527475,27.472527472527474,37
GENERAL SERVICES ADMINISTRATION,10346,2836.0,0.27411560023197373,27.411560023197374,38
PRESIDIO TRUST,316,86.0,0.2721518987341772,27.21518987341772,39
NATIONAL SCIENCE FOUNDATION,1198,324.0,0.2704507512520868,27.04507512520868,40
SMITHSONIAN INSTITUTION,4228,1140.0,0.2696310312204352,26.96310312204352,41
DEPARTMENT OF ENERGY,14955,4002.0,0.26760280842527584,26.760280842527585,42
NATIONAL LABOR RELATIONS BOARD,1108,295.0,0.26624548736462095,26.624548736462096,43
DEPARTMENT OF DEFENSE,146609,38787.0,0.26456083869339536,26.456083869339537,44
U.S. AGENCY FOR INTERNATIONAL DEV,370,96.0,0.2594594594594595,25.945945945945947,45
FEDERAL MARITIME COMMISSION,112,29.0,0.25892857142857145,25.892857142857146,46
NUCLEAR REGULATORY COMMISSION,2646,678.0,0.2562358276643991,25.623582766439913,47
FEDERAL DEPOSIT INSURANCE CORPORATION,5626,1440.0,0.25595449697831496,25.595449697831498,48
CONSUMER PRODUCT SAFETY COMMISSION,443,113.0,0.255079006772009,25.5079006772009,49
INTER BOUND AND WATER COMM U.S. SECTION,251,64.0,0.2549800796812749,25.49800796812749,50
ENVIRONMENTAL PROTECTION AGENCY,14661,3718.0,0.25359798103812836,25.359798103812835,51
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1771,449.0,0.25352907961603616,25.352907961603616,52
ADV COUNCIL ON HISTORIC PRESERVATION,32,8.0,0.25,25.0,53
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,100,25.0,0.25,25.0,54
PEACE CORPS,709,177.0,0.24964739069111425,24.964739069111424,55
OFFICE OF PERSONNEL MANAGEMENT,2284,566.0,0.2478108581436077,24.78108581436077,56
MERIT SYSTEMS PROTECTION BOARD,162,40.0,0.24691358024691357,24.691358024691358,57
DEPARTMENT OF THE ARMY,198448,48861.0,0.24621563331452068,24.621563331452066,58
OFFICE OF NATIONAL DRUG CONTROL POLICY,57,14.0,0.24561403508771928,24.561403508771928,59
DEPARTMENT OF VETERANS AFFAIRS,451121,110766.0,0.24553501167092642,24.55350116709264,60
SECURITIES AND EXCHANGE COMMISSION,3992,975.0,0.24423847695390782,24.423847695390783,61
NAT ARCHIVES AND RECORDS ADMINISTRATION,2435,591.0,0.2427104722792608,24.27104722792608,62
PRIVACY AND CIVIL LIBERTIES OVERSIGHT,29,7.0,0.2413793103448276,24.137931034482758,63
DEPARTMENT OF THE AIR FORCE,156678,37791.0,0.2412017003025313,24.120170030253128,64
DEPARTMENT OF HEALTH AND HUMAN SERVICES,75134,17986.0,0.23938563100593607,23.93856310059361,65
DEPARTMENT OF TREASURY,89881,21131.0,0.23509974299351363,23.509974299351363,66
DEPARTMENT OF EDUCATION,2453,575.0,0.23440684875662454,23.440684875662456,67
CHEMICAL SAFETY/HAZARD INVESTIGATION BD,43,10.0,0.23255813953488372,23.25581395348837,68
DENALI COMMISSION,13,3.0,0.23076923076923078,23.076923076923077,69
NAT FOUNDATION ON ARTS AND HUMANITIES,209,48.0,0.22966507177033493,22.966507177033492,70
DEPARTMENT OF COMMERCE,42084,9653.0,0.22937458416500334,22.937458416500334,71
NATIONAL MEDIATION BOARD,35,8.0,0.22857142857142856,22.857142857142858,72
FEDERAL RESERVE SYSTEM,1248,284.0,0.22756410256410256,22.756410256410255,73
FEDERAL HOUSING FINANCE AGENCY,618,138.0,0.22330097087378642,22.330097087378643,74
DEPARTMENT OF THE NAVY,205643,45715.0,0.22230272851495067,22.230272851495066,75
NATIONAL COUNCIL ON DISABILITY,18,4.0,0.2222222222222222,22.22222222222222,76
DEPARTMENT OF INTERIOR,56872,12327.0,0.21674989449992968,21.674989449992967,77
SURFACE TRANSPORTATION BOARD,107,23.0,0.21495327102803738,21.49532710280374,78
